"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 26, 2017","119.91","119.91","119.91","119.91","-","-0.99%"
"Jun 23, 2017","121.11","121.11","121.11","121.11","-","0.00%"
"Jun 22, 2017","121.11","120.55","121.11","120.55","-","0.87%"
"Jun 21, 2017","120.06","120.06","120.06","120.06","-","0.16%"
"Jun 20, 2017","119.87","119.87","119.87","119.87","-","-0.40%"
"Jun 19, 2017","120.35","120.35","120.35","120.35","-","-0.55%"
"Jun 16, 2017","121.02","121.02","121.02","121.02","-","0.00%"
"Jun 15, 2017","121.02","120.89","121.02","120.89","-","-1.69%"
"Jun 14, 2017","123.10","123.10","123.10","123.10","-","1.03%"
"Jun 13, 2017","121.84","121.84","121.84","121.84","-","-0.14%"
"Jun 12, 2017","122.01","122.01","122.01","122.01","-","-0.23%"
"Jun 09, 2017","122.29","122.29","122.29","122.29","-","-0.56%"
"Jun 08, 2017","122.98","122.60","122.98","122.60","-","-1.06%"
"Jun 07, 2017","124.30","124.30","124.30","124.30","-","-0.17%"
"Jun 06, 2017","124.51","124.51","124.51","124.51","-","1.15%"
"Jun 05, 2017","123.09","123.09","123.09","123.09","-","0.09%"
"Jun 02, 2017","122.98","122.98","122.98","122.98","-","1.06%"
"Jun 01, 2017","121.69","121.69","121.69","121.69","-","-0.18%"
"May 31, 2017","121.91","121.91","121.91","121.91","-","0.29%"
"May 30, 2017","121.56","121.56","121.56","121.56","-","-0.32%"
"May 29, 2017","121.95","121.95","121.95","121.95","-","0.00%"
"May 26, 2017","121.95","121.95","121.95","121.95","-","0.00%"
"May 25, 2017","121.95","120.86","121.95","120.86","-","1.19%"
"May 24, 2017","120.52","120.52","120.52","120.52","-","-0.54%"
"May 23, 2017","121.17","121.17","121.17","121.17","-","-0.03%"
"May 22, 2017","121.21","121.21","121.21","121.21","-","0.48%"
"May 19, 2017","120.63","120.63","120.63","120.63","-","-0.01%"
"May 18, 2017","120.64","120.64","120.64","120.64","-","-0.28%"
"May 17, 2017","120.98","120.98","120.98","120.98","-","1.49%"
"May 16, 2017","119.20","119.20","119.20","119.20","-","0.44%"
"May 15, 2017","118.68","118.68","118.68","118.68","-","0.30%"
"May 12, 2017","118.33","118.33","118.33","118.33","-","0.40%"
"May 11, 2017","117.86","117.86","117.86","117.86","-","0.28%"
"May 10, 2017","117.53","117.53","117.53","117.53","-","0.24%"
"May 09, 2017","117.25","117.25","117.25","117.25","-","-0.87%"
"May 08, 2017","118.28","118.28","118.28","118.28","-","-0.05%"
"May 05, 2017","118.34","118.34","118.34","118.34","-","0.00%"
"May 04, 2017","118.34","118.34","118.34","118.34","-","-1.51%"
"May 03, 2017","120.16","120.16","120.16","120.16","-","-0.56%"
"May 02, 2017","120.84","120.84","120.84","120.84","-","-1.06%"
"Apr 28, 2017","122.14","122.14","122.14","122.14","-","0.00%"
"Apr 27, 2017","122.14","121.85","122.14","121.85","-","0.37%"
"Apr 26, 2017","121.69","121.69","121.69","121.69","-","-0.36%"
"Apr 25, 2017","122.13","122.13","122.13","122.13","-","-0.55%"
"Apr 24, 2017","122.80","122.80","122.80","122.80","-","-0.72%"
"Apr 21, 2017","123.69","123.69","123.69","123.69","-","0.15%"
"Apr 20, 2017","123.50","123.50","123.50","123.50","-","0.13%"
"Apr 19, 2017","123.34","123.34","123.34","123.34","-","-0.86%"
"Apr 18, 2017","124.41","124.41","124.41","124.41","-","0.49%"
"Apr 13, 2017","123.80","123.80","123.80","123.80","-","0.72%"
"Apr 12, 2017","122.91","122.91","122.91","122.91","-","0.23%"
"Apr 11, 2017","122.63","122.63","122.63","122.63","-","1.46%"
"Apr 10, 2017","120.87","120.87","120.87","120.87","-","-0.93%"
"Apr 07, 2017","122.00","122.00","122.00","122.00","-","1.13%"
"Apr 06, 2017","120.64","120.64","120.64","120.64","-","0.20%"
"Apr 05, 2017","120.40","120.40","120.40","120.40","-","-0.58%"
"Apr 04, 2017","121.10","121.10","121.10","121.10","-","0.25%"
"Apr 03, 2017","120.80","120.80","120.80","120.80","-","0.52%"
"Mar 31, 2017","120.18","120.18","120.18","120.18","-","-0.26%"
"Mar 30, 2017","120.49","120.49","120.49","120.49","-","-0.30%"
"Mar 29, 2017","120.85","120.85","120.85","120.85","-","-0.26%"
"Mar 28, 2017","121.17","121.17","121.17","121.17","-","0.17%"
"Mar 27, 2017","120.97","120.97","120.97","120.97","-","0.43%"
"Mar 24, 2017","120.45","120.45","120.45","120.45","-","0.41%"
"Mar 23, 2017","119.96","119.96","119.96","119.96","-","-0.50%"
"Mar 22, 2017","120.56","120.56","120.56","120.56","-","0.48%"
"Mar 21, 2017","119.98","119.98","119.98","119.98","-","0.83%"
"Mar 20, 2017","118.99","118.99","118.99","118.99","-","0.35%"
"Mar 17, 2017","118.58","118.58","118.58","118.58","-","0.00%"
"Mar 16, 2017","118.58","118.68","118.68","118.58","-","2.42%"
"Mar 15, 2017","115.78","115.78","115.78","115.78","-","-0.46%"
"Mar 14, 2017","116.31","116.31","116.31","116.31","-","-0.01%"
"Mar 13, 2017","116.32","116.02","116.32","116.02","-","0.81%"
"Mar 10, 2017","115.39","115.39","115.39","115.39","-","0.00%"
"Mar 09, 2017","115.39","115.92","115.92","115.39","-","-0.78%"
"Mar 08, 2017","116.30","116.30","116.30","116.30","-","-0.78%"
"Mar 07, 2017","117.21","117.21","117.21","117.21","-","-0.81%"
"Mar 06, 2017","118.17","118.17","118.17","118.17","-","0.31%"
"Mar 03, 2017","117.81","117.81","117.81","117.81","-","0.00%"
