DATE,DTWEXBGS
2014-05-21,93.771
2014-05-22,93.7024
2014-05-23,93.7119
2014-05-26,.
2014-05-27,93.8498
2014-05-28,93.8871
2014-05-29,93.7054
2014-05-30,93.7693
2014-06-02,94.0086
2014-06-03,94.0619
2014-06-04,94.1318
2014-06-05,93.9814
2014-06-06,93.9151
2014-06-09,93.971
2014-06-10,94.0714
2014-06-11,93.9827
2014-06-12,93.824
2014-06-13,93.9257
2014-06-16,93.8742
2014-06-17,94.0929
2014-06-18,94.0625
2014-06-19,93.7627
2014-06-20,93.7702
2014-06-23,93.6395
2014-06-24,93.7203
2014-06-25,93.5969
2014-06-26,93.5589
2014-06-27,93.41
2014-06-30,93.218
2014-07-01,93.1494
2014-07-02,93.2604
2014-07-03,93.3274
2014-07-04,.
2014-07-07,93.3924
2014-07-08,93.3347
2014-07-09,93.2395
2014-07-10,93.3268
2014-07-11,93.4282
2014-07-14,93.4213
2014-07-15,93.5906
2014-07-16,93.6097
2014-07-17,93.6693
2014-07-18,93.6712
2014-07-21,93.6173
2014-07-22,93.6404
2014-07-23,93.6044
2014-07-24,93.6928
2014-07-25,93.8376
2014-07-28,93.8388
2014-07-29,94.0522
2014-07-30,94.3541
2014-07-31,94.4542
2014-08-01,94.4832
2014-08-04,94.4556
2014-08-05,94.6823
2014-08-06,94.6164
2014-08-07,94.6439
2014-08-08,94.6091
2014-08-11,94.4831
2014-08-12,94.5275
2014-08-13,94.4737
2014-08-14,94.3562
2014-08-15,94.2995
2014-08-18,94.2574
2014-08-19,94.4399
2014-08-20,94.5979
2014-08-21,94.6772
2014-08-22,94.8048
2014-08-25,94.9194
2014-08-26,94.865
2014-08-27,94.6897
2014-08-28,94.6988
2014-08-29,94.7299
2014-09-01,.
2014-09-02,95.0666
2014-09-03,94.8743
2014-09-04,95.2658
2014-09-05,95.2217
2014-09-08,95.4164
2014-09-09,95.8797
2014-09-10,95.8636
2014-09-11,95.9181
2014-09-12,96.0741
2014-09-15,96.1196
2014-09-16,95.8498
2014-09-17,95.9119
2014-09-18,96.1303
2014-09-19,96.3424
2014-09-22,96.4629
2014-09-23,96.5112
2014-09-24,96.6565
2014-09-25,96.8979
2014-09-26,97.2062
2014-09-29,97.3517
2014-09-30,97.5243
2014-10-01,97.537
2014-10-02,97.304
2014-10-03,97.98
2014-10-06,97.5486
2014-10-07,97.4437
2014-10-08,97.4925
2014-10-09,97.1693
2014-10-10,97.412
2014-10-13,.
2014-10-14,97.391
2014-10-15,97.3501
2014-10-16,97.2848
2014-10-17,97.3047
2014-10-20,97.2854
2014-10-21,97.2468
2014-10-22,97.4565
2014-10-23,97.6018
2014-10-24,97.4754
2014-10-27,97.5402
2014-10-28,97.2168
2014-10-29,97.0147
2014-10-30,97.4542
2014-10-31,98.1139
2014-11-03,98.5305
2014-11-04,98.5541
2014-11-05,98.8057
2014-11-06,99.1279
2014-11-07,99.0198
2014-11-10,98.9265
2014-11-11,.
2014-11-12,98.8862
2014-11-13,99.1
2014-11-14,99.0878
2014-11-17,99.2142
2014-11-18,99.0142
2014-11-19,99.2385
2014-11-20,99.2518
2014-11-21,99.286
2014-11-24,99.4191
2014-11-25,99.2808
2014-11-26,99.188
2014-11-27,.
2014-11-28,100.0685
2014-12-01,99.8952
2014-12-02,100.4458
2014-12-03,100.568
2014-12-04,100.3924
2014-12-05,101.0961
2014-12-08,101.3076
2014-12-09,100.8086
2014-12-10,101.02
2014-12-11,101.4438
2014-12-12,101.374
2014-12-15,101.6752
2014-12-16,101.5285
2014-12-17,101.5525
2014-12-18,101.7535
2014-12-19,102.0477
2014-12-22,101.9922
2014-12-23,102.345
2014-12-24,102.2997
2014-12-25,.
2014-12-26,.
2014-12-29,102.3749
2014-12-30,102.0997
2014-12-31,102.2821
2015-01-01,.
2015-01-02,102.8979
2015-01-05,103.492
2015-01-06,103.2871
2015-01-07,103.623
2015-01-08,103.2705
2015-01-09,103.1112
2015-01-12,103.2266
2015-01-13,103.2585
2015-01-14,103.0783
2015-01-15,103.0786
2015-01-16,103.2171
2015-01-19,.
2015-01-20,103.5195
2015-01-21,103.779
2015-01-22,103.9178
2015-01-23,104.3565
2015-01-26,104.4717
2015-01-27,104.1543
2015-01-28,104.4631
2015-01-29,105.263
2015-01-30,105.5746
2015-02-02,105.1928
2015-02-03,104.5948
2015-02-04,104.7737
2015-02-05,104.4818
2015-02-06,105.1183
2015-02-09,104.9792
2015-02-10,105.2797
2015-02-11,105.7791
2015-02-12,104.9298
2015-02-13,104.8358
2015-02-16,.
2015-02-17,.
2015-02-18,105.2412
2015-02-19,105.1303
2015-02-20,105.3283
2015-02-23,105.5248
2015-02-24,105.535
2015-02-25,105.0399
2015-02-26,105.4895
2015-02-27,105.5859
2015-03-02,105.8023
2015-03-03,105.5436
2015-03-04,106.1202
2015-03-05,.
2015-03-06,107.4155
2015-03-09,107.5024
2015-03-10,108.0982
2015-03-11,108.5015
2015-03-12,108.1525
2015-03-13,108.8943
2015-03-16,108.6194
2015-03-17,108.5571
2015-03-18,108.3839
2015-03-19,108.1586
2015-03-20,107.1474
2015-03-23,106.4839
2015-03-24,106.4216
2015-03-25,106.2455
2015-03-26,106.5397
2015-03-27,106.8728
2015-03-30,107.3725
2015-03-31,107.4176
2015-04-01,107.0383
2015-04-02,106.6526
2015-04-03,105.8667
2015-04-06,105.7685
2015-04-07,106.4286
2015-04-08,106.4025
2015-04-09,107.0087
2015-04-10,107.4269
2015-04-13,107.7254
2015-04-14,107.0308
2015-04-15,107.162
2015-04-16,106.2568
2015-04-17,106.3111
